Dates,Dates,G007026E45991N,G007050E45972N,G007281E45526N,G007297E45961N,G007394E45986N,G007419E45967N,G007510E46381N,G007549E46005N,G007581E46002N,G007603E46067N,G007625E45991N,G007639E46058N,G007682E46077N,G007702E46120N,G007730E45943N,G007761E45922N,G007800E45965N,G007807E46481N,G007833E46493N,G007846E45906N,G007860E46128N,G007880E45990N,G007892E46055N,G007896E46027N,G007908E45948N,G007922E46000N,G007930E46472N,G007964E46423N,G008016E46459N,G008051E46567N,G008098E46566N,G008131E46609N,G008144E46504N,G008147E46640N,G008156E46616N,G008187E46569N,G008379E46648N,G008431E46695N,G008861E46827N,G009837E46351N,G009860E46370N,G009889E46366N,G009942E46399N,G009969E46369N,G010535E46167N,G010577E46153N,G010609E46395N,G011184E46953N,G021992E70174N,G022083E70150N,G041229E43392N,G041338E43356N,G041406E43354N,G041420E43362N,G041426E43326N,G041439E43313N,G041493E43296N,G041519E43299N,G041523E43281N,G041561E43266N,G041572E43240N,G041626E43230N,G041652E43255N,G041673E43238N,G041692E43207N,G041693E43224N,G041772E43227N,G041843E43225N,G041904E43293N,G041997E43219N,G042051E43198N,G042078E43218N,G042093E43100N,G042100E43207N,G042112E43216N,G042177E43228N,G042208E43222N,G042234E43233N,G042280E43217N,G042321E43226N,G043762E42752N,G043763E42801N,G043771E42740N,G043772E42828N,G043844E42752N,G043845E42727N,G043884E42750N,G044389E42749N,G044447E42733N,G044467E42706N,G044477E42719N,G044483E42698N,G044503E42719N,G044517E42715N,G044537E42706N,G045335E42577N,G045645E42509N,G047796E38263N,G050944E36380N,G050969E36388N,G072154E36611N,G072276E36720N,G073881E36791N,G075110E36318N,G075212E36027N,G075248E38558N,G076135E33464N,G076139E33764N,G076233E33705N,G076553E35339N,G076582E35961N,G077195E35779N,G077441E36518N,G077780E36712N,G077972E34575N,G079397E36144N,G079448E36046N,G079544E31011N,G079568E34309N,G080251E42005N,G080422E35819N,G080574E35527N,G080581E42004N,G080842E42199N,G080860E34368N,G080949E42400N,G081057E35255N,G081184E35317N,G081637E42410N,G082076E35436N,G083476E28736N,G084142E28500N,G084689E28511N,G084759E28427N,G084939E43518N,G085638E34457N,G085758E28296N,G085885E34389N,G086280E28276N,G086633E28122N,G086719E28132N,G087182E36381N,G087347E36344N,G087851E49154N,G089107E33816N,G089122E33894N,G090157E28136N,G090936E36102N,G091091E33424N,G091092E33366N,G211128E60439N,G212558E63648N,G213319E63433N,G222166E59371N,G222767E59342N,G222945E59218N,G223019E59160N,G223058E59316N,G223217E59479N,G223301E58723N,G223304E59444N,G223515E59091N,G223711E59237N,G223858E59202N,G225242E59366N,G225315E59267N,G225357E59279N,G225688E59122N,G226067E58945N,G226234E58919N,G226274E58882N,G226677E58330N,G226792E58448N,G226839E58334N,G226922E58043N,G227371E58087N,G227390E57963N,G227438E57917N,G227454E58004N,G227482E57968N,G227526E57562N,G227627E57972N,G227643E57506N,G227691E57501N,G227784E57753N,G235042E57853N,G239484E53002N,G239808E52894N,G240244E52815N,G240543E53417N,G241920E52410N,G242130E52179N,G242143E52208N,G242234E52184N,G242636E52211N,G242657E52180N,G242731E52135N,G242954E51919N,G243063E50807N,G243112E51724N,G282656E09382S,G286639E49733S,G286738E50402S,G286764E50376S,G286773E49566S,G286852E49174S,G286866E49224S,G286875E49227S,G286878E49177S,G286883E50681S,G286900E49352S,G286902E49166S,G286920E49359S,G286924E49328S,G286929E49140S,G286934E49316S,G286954E49103S,G286984E49869S,G287357E15537S,G287591E48477S,G287611E48517S,G287660E48530S,G287664E48504S,G287940E42132S,G288117E41158S,G289903E32043S,G289924E32060S,G289971E32602S,G289972E33043S,G289986E32570S,G289994E32681S,G289995E32986S,G290007E31452S,G290035E33013S,G290117E33830S,G290133E33763S,G290159E33735S,G290163E33530S,G290191E33451S,G290195E33749S,G290197E33544S,G290207E30395S,G290237E33382S,G290237E33400S,G291155E27738S
0,1979-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1979-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1979-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1979-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1979-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1979-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1979-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1979-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1979-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1979-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
