"line_type","anlys_id","glac_id","anlys_time","area","db_area","width","length","primeclass","min_elev","mean_elev","max_elev","src_date","rec_status","glac_name","wgms_id","local_id","glac_stat","subm_id","release_dt","proc_desc","rc_id","geog_area","chief_affl","loc_unc_x","loc_unc_y","glob_unc_x","glob_unc_y","submitters","analysts","bboxes","geog_area_rollup"
"debris_cov","61200.0","G282389E08980S","2007-04-15T08:00:00","8.2053","8.17168","0.0","0.0","0.0","4289.0","5052.0","0.0","2005-08-28T15:33:04","okay","None","None","PE1D371GLF01","exists","489.0","2008-04-08T00:00:00","ASTER imagery: 2 ASTER images acquired in Aug 2005 by special Data
Acquisition Request (DAR); GLIMS gains; high contrast; minimal cloud
cover; end of the ablation season. Some areas in the NW of Cordillera
Blanca not covered by this scene. I used L1B lev","524.0","Cordillera Blanca, Peru","IRD (UR R032 Great Ice)","60","60","100","100","Racoviteanu, Adina","Racoviteanu, Adina","[(-77.60849585000001, -8.980091800000002), (-77.60834514999999, -8.980091800000002), (-77.60834514999999, -8.9799422), (-77.60849585000001, -8.9799422), (-77.60849585000001, -8.980091800000002)]","South America"
"pro_lake","61056.0","G282412E08893S","2007-04-15T08:00:00","2.9574","2.93385","0.0","0.0","0.0","4635.0","5027.0","0.0","2005-08-28T15:33:04","okay","None","None","PE1P005CFG04","exists","489.0","2008-04-08T00:00:00","ASTER imagery: 2 ASTER images acquired in Aug 2005 by special Data
Acquisition Request (DAR); GLIMS gains; high contrast; minimal cloud
cover; end of the ablation season. Some areas in the NW of Cordillera
Blanca not covered by this scene. I used L1B lev","524.0","Cordillera Blanca, Peru","IRD (UR R032 Great Ice)","15","15","30","30","Racoviteanu, Adina","Racoviteanu, Adina","[(-77.58922294999999, -8.906404), (-77.58451604999999, -8.906404), (-77.58451604999999, -8.903103999999999), (-77.58922294999999, -8.903103999999999), (-77.58922294999999, -8.906404)]","South America"
"pro_lake","61206.0","G282374E08986S","2007-04-15T08:00:00","3.6927","3.67806","0.0","0.0","0.0","4448.0","5105.0","0.0","2005-08-28T15:33:04","okay","None","None","PE1P005CGI01","exists","489.0","2008-04-08T00:00:00","ASTER imagery: 2 ASTER images acquired in Aug 2005 by special Data
Acquisition Request (DAR); GLIMS gains; high contrast; minimal cloud
cover; end of the ablation season. Some areas in the NW of Cordillera
Blanca not covered by this scene. I used L1B lev","524.0","Cordillera Blanca, Peru","IRD (UR R032 Great Ice)","15","15","30","30","Racoviteanu, Adina","Racoviteanu, Adina","[(-77.64427155, -8.9875262), (-77.64366545, -8.9875262), (-77.64366545, -8.9868398), (-77.64427155, -8.9868398), (-77.64427155, -8.9875262)]","South America"
"pro_lake","60833.0","G282395E08861S","2007-04-15T08:00:00","3.8961","3.89446","0.0","0.0","0.0","4455.0","5351.0","0.0","2005-08-28T15:33:04","okay","None","None","PE1P005CCJE2","exists","489.0","2008-04-08T00:00:00","ASTER imagery: 2 ASTER images acquired in Aug 2005 by special Data
Acquisition Request (DAR); GLIMS gains; high contrast; minimal cloud
cover; end of the ablation season. Some areas in the NW of Cordillera
Blanca not covered by this scene. I used L1B lev","524.0","Cordillera Blanca, Peru","IRD (UR R032 Great Ice)","15","15","30","30","Racoviteanu, Adina","Racoviteanu, Adina","[(-77.62157845, -8.84687465), (-77.61501255000002, -8.84687465), (-77.61501255000002, -8.83891835), (-77.62157845, -8.83891835), (-77.62157845, -8.84687465)]","South America"
"debris_cov","61182.0","G282346E09032S","2007-04-15T08:00:00","4.5549","4.54944","0.0","0.0","0.0","4684.0","5291.0","0.0","2005-08-28T15:33:04","okay","None","None","PE1P005CIE01","exists","489.0","2008-04-08T00:00:00","ASTER imagery: 2 ASTER images acquired in Aug 2005 by special Data
Acquisition Request (DAR); GLIMS gains; high contrast; minimal cloud
cover; end of the ablation season. Some areas in the NW of Cordillera
Blanca not covered by this scene. I used L1B lev","524.0","Cordillera Blanca, Peru","IRD (UR R032 Great Ice)","60","60","100","100","Racoviteanu, Adina","Racoviteanu, Adina","[(-77.65160465000001, -9.0354812), (-77.62611435000001, -9.0354812), (-77.62611435000001, -9.024344800000001), (-77.65160465000001, -9.024344800000001), (-77.65160465000001, -9.0354812)]","South America"
"debris_cov","60853.0","G282365E09094S","2007-04-15T08:00:00","1.2213","1.22177","0.0","0.0","0.0","4575.0","5182.0","0.0","2005-08-28T15:33:04","okay","None","None","None","exists","489.0","2008-04-08T00:00:00","ASTER imagery: 2 ASTER images acquired in Aug 2005 by special Data
Acquisition Request (DAR); GLIMS gains; high contrast; minimal cloud
cover; end of the ablation season. Some areas in the NW of Cordillera
Blanca not covered by this scene. I used L1B lev","524.0","Cordillera Blanca, Peru","IRD (UR R032 Great Ice)","60","60","100","100","Racoviteanu, Adina","Racoviteanu, Adina","[(-77.64200595, -9.0999157), (-77.63386704999999, -9.0999157), (-77.63386704999999, -9.0889223), (-77.64200595, -9.0889223), (-77.64200595, -9.0999157)]","South America"
"debris_cov","61119.0","G282365E09107S","2007-04-15T08:00:00","4.0851","4.07484","0.0","0.0","0.0","4321.0","5264.0","0.0","2005-08-28T15:33:04","okay","None","None","PE1P005CIK01","exists","489.0","2008-04-08T00:00:00","ASTER imagery: 2 ASTER images acquired in Aug 2005 by special Data
Acquisition Request (DAR); GLIMS gains; high contrast; minimal cloud
cover; end of the ablation season. Some areas in the NW of Cordillera
Blanca not covered by this scene. I used L1B lev","524.0","Cordillera Blanca, Peru","IRD (UR R032 Great Ice)","60","60","100","100","Racoviteanu, Adina","Racoviteanu, Adina","[(-77.65082755, -9.1204446), (-77.63735145, -9.1204446), (-77.63735145, -9.1127094), (-77.65082755, -9.1127094), (-77.65082755, -9.1204446)]","South America"
"debris_cov","61093.0","G282350E09048S","2007-04-15T08:00:00","1.3167","1.30997","0.0","0.0","0.0","4705.0","5169.0","0.0","2005-08-28T15:33:04","okay","None","None","PE1P005CID01","exists","489.0","2008-04-08T00:00:00","ASTER imagery: 2 ASTER images acquired in Aug 2005 by special Data
Acquisition Request (DAR); GLIMS gains; high contrast; minimal cloud
cover; end of the ablation season. Some areas in the NW of Cordillera
Blanca not covered by this scene. I used L1B lev","524.0","Cordillera Blanca, Peru","IRD (UR R032 Great Ice)","60","60","100","100","Racoviteanu, Adina","Racoviteanu, Adina","[(-77.65504085, -9.05862555), (-77.64648615, -9.05862555), (-77.64648615, -9.046799450000002), (-77.65504085, -9.046799450000002), (-77.65504085, -9.05862555)]","South America"
"pro_lake","61189.0","G282396E09001S","2007-04-15T08:00:00","3.0222","3.01169","0.0","0.0","0.0","4567.0","5126.0","0.0","2005-08-28T15:33:04","okay","None","None","PE1P005CIF02","exists","489.0","2008-04-08T00:00:00","ASTER imagery: 2 ASTER images acquired in Aug 2005 by special Data
Acquisition Request (DAR); GLIMS gains; high contrast; minimal cloud
cover; end of the ablation season. Some areas in the NW of Cordillera
Blanca not covered by this scene. I used L1B lev","524.0","Cordillera Blanca, Peru","IRD (UR R032 Great Ice)","15","15","30","30","Racoviteanu, Adina","Racoviteanu, Adina","[(-77.61392235, -9.011725850000001), (-77.60986665, -9.011725850000001), (-77.60986665, -9.00845115), (-77.61392235, -9.00845115), (-77.61392235, -9.011725850000001)]","South America"
"pro_lake","60838.0","G282365E09016S","2007-04-15T08:00:00","1.8612","1.85429","0.0","0.0","0.0","4859.0","5134.0","0.0","2005-08-28T15:33:04","okay","None","None","PE1P005CIE02","exists","489.0","2008-04-08T00:00:00","ASTER imagery: 2 ASTER images acquired in Aug 2005 by special Data
Acquisition Request (DAR); GLIMS gains; high contrast; minimal cloud
cover; end of the ablation season. Some areas in the NW of Cordillera
Blanca not covered by this scene. I used L1B lev","524.0","Cordillera Blanca, Peru","IRD (UR R032 Great Ice)","15","15","30","30","Racoviteanu, Adina","Racoviteanu, Adina","[(-77.63933765, -9.024398300000001), (-77.63743135, -9.024398300000001), (-77.63743135, -9.022741700000001), (-77.63933765, -9.022741700000001), (-77.63933765, -9.024398300000001)]","South America"
"pro_lake","60962.0","G282576E09402S","2007-04-15T08:00:00","1.2429","1.23879","0.0","0.0","0.0","4854.0","5225.0","0.0","2005-07-11T15:33:25","okay","None","None","PE1P005CND01","exists","489.0","2008-04-08T00:00:00","ASTER imagery: 2 ASTER images acquired in Aug 2005 by special Data
Acquisition Request (DAR); GLIMS gains; high contrast; minimal cloud
cover; end of the ablation season. Some areas in the NW of Cordillera
Blanca not covered by this scene. I used L1B lev","524.0","Cordillera Blanca, Peru","IRD (UR R032 Great Ice)","15","15","30","30","Racoviteanu, Adina","Racoviteanu, Adina","[(-77.4314115, -9.39196585), (-77.4286945, -9.39196585), (-77.4286945, -9.38985715), (-77.4314115, -9.38985715), (-77.4314115, -9.39196585)]","South America"
"pro_lake","60969.0","G282537E09423S","2007-04-15T08:00:00","4.5234","4.52705","0.0","0.0","0.0","4740.0","5231.0","0.0","2005-07-11T15:33:25","okay","None","None","PE1P005CCOAA1","exists","489.0","2008-04-08T00:00:00","ASTER imagery: 2 ASTER images acquired in Aug 2005 by special Data
Acquisition Request (DAR); GLIMS gains; high contrast; minimal cloud
cover; end of the ablation season. Some areas in the NW of Cordillera
Blanca not covered by this scene. I used L1B lev","524.0","Cordillera Blanca, Peru","IRD (UR R032 Great Ice)","15","15","30","30","Racoviteanu, Adina","Racoviteanu, Adina","[(-77.48090105, -9.42661005), (-77.47685195, -9.42661005), (-77.47685195, -9.42262695), (-77.48090105, -9.42262695), (-77.48090105, -9.42661005)]","South America"
"debris_cov","61178.0","G282566E09418S","2007-04-15T08:00:00","4.2615","4.268","0.0","0.0","0.0","4466.0","5175.0","0.0","2005-07-11T15:33:25","okay","None","None","None","exists","489.0","2008-04-08T00:00:00","ASTER imagery: 2 ASTER images acquired in Aug 2005 by special Data
Acquisition Request (DAR); GLIMS gains; high contrast; minimal cloud
cover; end of the ablation season. Some areas in the NW of Cordillera
Blanca not covered by this scene. I used L1B lev","524.0","Cordillera Blanca, Peru","IRD (UR R032 Great Ice)","60","60","100","100","Racoviteanu, Adina","Racoviteanu, Adina","[(-77.44471395000001, -9.436227), (-77.43202105, -9.436227), (-77.43202105, -9.415766999999999), (-77.44471395000001, -9.415766999999999), (-77.44471395000001, -9.436227)]","South America"
